car_ID,CarName,wheelbase,carlength,carwidth,carheight,curbweight
1,alfa-romero giulia,88.6,168.8,64.1,48.8,2548
2,alfa-romero stelvio,88.6,168.8,64.1,48.8,2548
3,alfa-romero Quadrifoglio,94.5,171.2,65.5,52.4,2823
4,audi 100 ls,99.8,176.6,66.2,54.3,2337
5,audi 100ls,99.4,176.6,66.4,54.3,2824
6,audi fox,99.8,177.3,66.3,53.1,2507
7,audi 100ls,105.8,192.7,71.4,55.7,2844
8,audi 5000,105.8,192.7,71.4,55.7,2954
9,audi 4000,105.8,192.7,71.4,55.9,3086
10,audi 5000s (diesel),99.5,178.2,67.9,52,3053
11,bmw 320i,101.2,176.8,64.8,54.3,2395
12,bmw 320i,101.2,176.8,64.8,54.3,2395
13,bmw x1,101.2,176.8,64.8,54.3,2710
14,bmw x3,101.2,176.8,64.8,54.3,2765
15,bmw z4,103.5,189,66.9,55.7,3055
16,bmw x4,103.5,189,66.9,55.7,3230
17,bmw x5,103.5,193.8,67.9,53.7,3380
18,bmw x3,110,197,70.9,56.3,3505
19,chevrolet impala,88.4,141.1,60.3,53.2,1488
20,chevrolet monte carlo,94.5,155.9,63.6,52,1874
21,chevrolet vega 2300,94.5,158.8,63.6,52,1909
22,dodge rampage,93.7,157.3,63.8,50.8,1876
23,dodge challenger se,93.7,157.3,63.8,50.8,1876
24,dodge d200,93.7,157.3,63.8,50.8,2128
25,dodge monaco (sw),93.7,157.3,63.8,50.6,1967
26,dodge colt hardtop,93.7,157.3,63.8,50.6,1989
27,dodge colt (sw),93.7,157.3,63.8,50.6,1989
28,dodge coronet custom,93.7,157.3,63.8,50.6,2191
29,dodge dart custom,103.3,174.6,64.6,59.8,2535
30,dodge coronet custom (sw),95.9,173.2,66.3,50.2,2811
31,honda civic,86.6,144.6,63.9,50.8,1713
32,honda civic cvcc,86.6,144.6,63.9,50.8,1819
33,honda civic,93.7,150,64,52.6,1837
34,honda accord cvcc,93.7,150,64,52.6,1940
35,honda civic cvcc,93.7,150,64,52.6,1956
36,honda accord lx,96.5,163.4,64,54.5,2010
37,honda civic 1500 gl,96.5,157.1,63.9,58.3,2024
38,honda accord,96.5,167.5,65.2,53.3,2236
39,honda civic 1300,96.5,167.5,65.2,53.3,2289
40,honda prelude,96.5,175.4,65.2,54.1,2304
41,honda accord,96.5,175.4,62.5,54.1,2372
42,honda civic,96.5,175.4,65.2,54.1,2465
43,honda civic (auto),96.5,169.1,66,51,2293
44,isuzu MU-X,94.3,170.7,61.8,53.5,2337
45,isuzu D-Max ,94.5,155.9,63.6,52,1874
46,isuzu D-Max V-Cross,94.5,155.9,63.6,52,1909
47,isuzu D-Max ,96,172.6,65.2,51.4,2734
48,jaguar xj,113,199.6,69.6,52.8,4066
49,jaguar xf,113,199.6,69.6,52.8,4066
50,jaguar xk,102,191.7,70.6,47.8,3950
51,maxda rx3,93.1,159.1,64.2,54.1,1890
52,maxda glc deluxe,93.1,159.1,64.2,54.1,1900
53,mazda rx2 coupe,93.1,159.1,64.2,54.1,1905
54,mazda rx-4,93.1,166.8,64.2,54.1,1945
55,mazda glc deluxe,93.1,166.8,64.2,54.1,1950
56,mazda 626,95.3,169,65.7,49.6,2380
57,mazda glc,95.3,169,65.7,49.6,2380
58,mazda rx-7 gs,95.3,169,65.7,49.6,2385
59,mazda glc 4,95.3,169,65.7,49.6,2500
60,mazda 626,98.8,177.8,66.5,53.7,2385
61,mazda glc custom l,98.8,177.8,66.5,55.5,2410
62,mazda glc custom,98.8,177.8,66.5,53.7,2385
63,mazda rx-4,98.8,177.8,66.5,55.5,2410
64,mazda glc deluxe,98.8,177.8,66.5,55.5,2443
65,mazda 626,98.8,177.8,66.5,55.5,2425
66,mazda glc,104.9,175,66.1,54.4,2670
67,mazda rx-7 gs,104.9,175,66.1,54.4,2700
68,buick electra 225 custom,110,190.9,70.3,56.5,3515
69,buick century luxus (sw),110,190.9,70.3,58.7,3750
70,buick century,106.7,187.5,70.3,54.9,3495
71,buick skyhawk,115.6,202.6,71.7,56.3,3770
72,buick opel isuzu deluxe,115.6,202.6,71.7,56.5,3740
73,buick skylark,96.6,180.3,70.5,50.8,3685
74,buick century special,120.9,208.1,71.7,56.7,3900
75,buick regal sport coupe (turbo),112,199.2,72,55.4,3715
76,mercury cougar,102.7,178.4,68,54.8,2910
77,mitsubishi mirage,93.7,157.3,64.4,50.8,1918
78,mitsubishi lancer,93.7,157.3,64.4,50.8,1944
79,mitsubishi outlander,93.7,157.3,64.4,50.8,2004
80,mitsubishi g4,93,157.3,63.8,50.8,2145
81,mitsubishi mirage g4,96.3,173,65.4,49.4,2370
82,mitsubishi g4,96.3,173,65.4,49.4,2328
83,mitsubishi outlander,95.9,173.2,66.3,50.2,2833
84,mitsubishi g4,95.9,173.2,66.3,50.2,2921
85,mitsubishi mirage g4,95.9,173.2,66.3,50.2,2926
86,mitsubishi montero,96.3,172.4,65.4,51.6,2365
87,mitsubishi pajero,96.3,172.4,65.4,51.6,2405
88,mitsubishi outlander,96.3,172.4,65.4,51.6,2403
89,mitsubishi mirage g4,96.3,172.4,65.4,51.6,2403
90,Nissan versa,94.5,165.3,63.8,54.5,1889
91,nissan gt-r,94.5,165.3,63.8,54.5,2017
92,nissan rogue,94.5,165.3,63.8,54.5,1918
93,nissan latio,94.5,165.3,63.8,54.5,1938
94,nissan titan,94.5,170.2,63.8,53.5,2024
95,nissan leaf,94.5,165.3,63.8,54.5,1951
96,nissan juke,94.5,165.6,63.8,53.3,2028
97,nissan latio,94.5,165.3,63.8,54.5,1971
98,nissan note,94.5,170.2,63.8,53.5,2037
99,nissan clipper,95.1,162.4,63.8,53.3,2008
100,nissan rogue,97.2,173.4,65.2,54.7,2324
101,nissan nv200,97.2,173.4,65.2,54.7,2302
102,nissan dayz,100.4,181.7,66.5,55.1,3095
103,nissan fuga,100.4,184.6,66.5,56.1,3296
104,nissan otti,100.4,184.6,66.5,55.1,3060
105,nissan teana,91.3,170.7,67.9,49.7,3071
106,nissan kicks,91.3,170.7,67.9,49.7,3139
107,nissan clipper,99.2,178.5,67.9,49.7,3139
108,peugeot 504,107.9,186.7,68.4,56.7,3020
109,peugeot 304,107.9,186.7,68.4,56.7,3197
110,peugeot 504 (sw),114.2,198.9,68.4,58.7,3230
111,peugeot 504,114.2,198.9,68.4,58.7,3430
112,peugeot 504,107.9,186.7,68.4,56.7,3075
113,peugeot 604sl,107.9,186.7,68.4,56.7,3252
114,peugeot 504,114.2,198.9,68.4,56.7,3285
115,peugeot 505s turbo diesel,114.2,198.9,68.4,58.7,3485
116,peugeot 504,107.9,186.7,68.4,56.7,3075
117,peugeot 504,107.9,186.7,68.4,56.7,3252
118,peugeot 604sl,108,186.7,68.3,56,3130
119,plymouth fury iii,93.7,157.3,63.8,50.8,1918
120,plymouth cricket,93.7,157.3,63.8,50.8,2128
121,plymouth fury iii,93.7,157.3,63.8,50.6,1967
122,plymouth satellite custom (sw),93.7,167.3,63.8,50.8,1989
123,plymouth fury gran sedan,93.7,167.3,63.8,50.8,2191
124,plymouth valiant,103.3,174.6,64.6,59.8,2535
125,plymouth duster,95.9,173.2,66.3,50.2,2818
126,porsche macan,94.5,168.9,68.3,50.2,2778
127,porcshce panamera,89.5,168.9,65,51.6,2756
128,porsche cayenne,89.5,168.9,65,51.6,2756
129,porsche boxter,89.5,168.9,65,51.6,2800
130,porsche cayenne,98.4,175.7,72.3,50.5,3366
131,renault 12tl,96.1,181.5,66.5,55.2,2579
132,renault 5 gtl,96.1,176.8,66.6,50.5,2460
133,saab 99e,99.1,186.6,66.5,56.1,2658
134,saab 99le,99.1,186.6,66.5,56.1,2695
135,saab 99le,99.1,186.6,66.5,56.1,2707
136,saab 99gle,99.1,186.6,66.5,56.1,2758
137,saab 99gle,99.1,186.6,66.5,56.1,2808
138,saab 99e,99.1,186.6,66.5,56.1,2847
139,subaru,93.7,156.9,63.4,53.7,2050
140,subaru dl,93.7,157.9,63.6,53.7,2120
141,subaru dl,93.3,157.3,63.8,55.7,2240
142,subaru,97.2,172,65.4,52.5,2145
143,subaru brz,97.2,172,65.4,52.5,2190
144,subaru baja,97.2,172,65.4,52.5,2340
145,subaru r1,97,172,65.4,54.3,2385
146,subaru r2,97,172,65.4,54.3,2510
147,subaru trezia,97,173.5,65.4,53,2290
148,subaru tribeca,97,173.5,65.4,53,2455
149,subaru dl,96.9,173.6,65.4,54.9,2420
150,subaru dl,96.9,173.6,65.4,54.9,2650
151,toyota corona mark ii,95.7,158.7,63.6,54.5,1985
152,toyota corona,95.7,158.7,63.6,54.5,2040
153,toyota corolla 1200,95.7,158.7,63.6,54.5,2015
154,toyota corona hardtop,95.7,169.7,63.6,59.1,2280
155,toyota corolla 1600 (sw),95.7,169.7,63.6,59.1,2290
156,toyota carina,95.7,169.7,63.6,59.1,3110
157,toyota mark ii,95.7,166.3,64.4,53,2081
158,toyota corolla 1200,95.7,166.3,64.4,52.8,2109
159,toyota corona,95.7,166.3,64.4,53,2275
160,toyota corolla,95.7,166.3,64.4,52.8,2275
161,toyota corona,95.7,166.3,64.4,53,2094
162,toyota corolla,95.7,166.3,64.4,52.8,2122
163,toyota mark ii,95.7,166.3,64.4,52.8,2140
164,toyota corolla liftback,94.5,168.7,64,52.6,2169
165,toyota corona,94.5,168.7,64,52.6,2204
166,toyota celica gt liftback,94.5,168.7,64,52.6,2265
167,toyota corolla tercel,94.5,168.7,64,52.6,2300
168,toyota corona liftback,98.4,176.2,65.6,52,2540
169,toyota corolla,98.4,176.2,65.6,52,2536
170,toyota starlet,98.4,176.2,65.6,52,2551
171,toyota tercel,98.4,176.2,65.6,52,2679
172,toyota corolla,98.4,176.2,65.6,52,2714
173,toyota cressida,98.4,176.2,65.6,53,2975
174,toyota corolla,102.4,175.6,66.5,54.9,2326
175,toyota celica gt,102.4,175.6,66.5,54.9,2480
176,toyota corona,102.4,175.6,66.5,53.9,2414
177,toyota corolla,102.4,175.6,66.5,54.9,2414
178,toyota mark ii,102.4,175.6,66.5,53.9,2458
179,toyota corolla liftback,102.9,183.5,67.7,52,2976
180,toyota corona,102.9,183.5,67.7,52,3016
181,toyota starlet,104.5,187.8,66.5,54.1,3131
182,toyouta tercel,104.5,187.8,66.5,54.1,3151
183,vokswagen rabbit,97.3,171.7,65.5,55.7,2261
184,volkswagen 1131 deluxe sedan,97.3,171.7,65.5,55.7,2209
185,volkswagen model 111,97.3,171.7,65.5,55.7,2264
186,volkswagen type 3,97.3,171.7,65.5,55.7,2212
187,volkswagen 411 (sw),97.3,171.7,65.5,55.7,2275
188,volkswagen super beetle,97.3,171.7,65.5,55.7,2319
189,volkswagen dasher,97.3,171.7,65.5,55.7,2300
200,volvo a,104.5,187.8,66.5,54.1,3151
201,volvo b,97.3,171.7,65.5,55.7,2261
